Date,Time,Open,High,Low,Close,Volume
2020.12.07,01:00,12555.30000,12557.30000,12546.10000,12547.60000,1407
2020.12.07,02:00,12547.60000,12555.60000,12529.10000,12549.80000,3448
2020.12.07,03:00,12549.30000,12555.60000,12531.10000,12537.60000,3592
2020.12.07,04:00,12537.30000,12539.30000,12519.60000,12525.10000,2692
2020.12.07,05:00,12525.30000,12528.60000,12514.30000,12514.80000,2305
2020.12.07,06:00,12514.80000,12523.60000,12512.80000,12521.10000,1519
2020.12.07,07:00,12521.30000,12524.30000,12513.60000,12516.30000,2049
2020.12.07,08:00,12516.30000,12531.60000,12514.30000,12526.30000,1802
2020.12.07,09:00,12526.60000,12533.80000,12519.30000,12532.60000,2053
2020.12.07,10:00,12532.30000,12533.70000,12477.80000,12492.70000,4820
2020.12.07,11:00,12493.30000,12510.30000,12483.90000,12502.90000,3764
2020.12.07,12:00,12502.70000,12525.60000,12501.80000,12516.30000,2919
2020.12.07,13:00,12516.40000,12527.20000,12511.90000,12523.50000,3000
2020.12.07,14:00,12523.00000,12529.10000,12513.40000,12523.30000,2496
2020.12.07,15:00,12523.00000,12536.20000,12520.50000,12535.80000,2838
2020.12.07,16:00,12535.70000,12590.70000,12528.90000,12587.70000,10211
2020.12.07,17:00,12587.40000,12603.70000,12579.50000,12591.40000,11715
2020.12.07,18:00,12591.50000,12614.70000,12585.30000,12595.70000,9611
2020.12.07,19:00,12595.20000,12595.50000,12575.00000,12576.00000,7626
2020.12.07,20:00,12576.20000,12578.20000,12550.70000,12572.70000,7828
2020.12.07,21:00,12573.00000,12592.00000,12558.20000,12585.00000,7019
2020.12.07,22:00,12585.50000,12603.00000,12555.50000,12600.20000,9367
2020.12.08,01:00,12587.40000,12592.00000,12574.60000,12579.00000,791
2020.12.08,02:00,12579.00000,12580.10000,12562.60000,12577.90000,2989
2020.12.08,03:00,12577.40000,12586.10000,12563.10000,12568.10000,3125
2020.12.08,04:00,12568.50000,12571.60000,12563.70000,12568.50000,1927
2020.12.08,05:00,12568.40000,12570.70000,12557.70000,12566.20000,1639
2020.12.08,06:00,12565.90000,12572.20000,12565.90000,12570.00000,1168
2020.12.08,07:00,12569.70000,12582.50000,12569.70000,12579.70000,1767
2020.12.08,08:00,12579.00000,12586.90000,12567.00000,12573.00000,1866
2020.12.08,09:00,12572.70000,12585.40000,12562.60000,12579.40000,2255
2020.12.08,10:00,12579.40000,12595.10000,12576.80000,12590.70000,3115
2020.12.08,11:00,12590.40000,12602.40000,12579.70000,12589.50000,3022
2020.12.08,12:00,12589.60000,12598.30000,12586.40000,12592.80000,2289
2020.12.08,13:00,12592.90000,12593.40000,12531.40000,12535.50000,4475
2020.12.08,14:00,12536.00000,12557.80000,12536.00000,12556.80000,3565
2020.12.08,15:00,12557.00000,12571.20000,12551.70000,12570.20000,3444
2020.12.08,16:00,12569.80000,12590.80000,12527.70000,12555.00000,10086
2020.12.08,17:00,12554.80000,12571.80000,12506.00000,12561.30000,11739
2020.12.08,18:00,12560.70000,12590.40000,12547.70000,12588.50000,8638
2020.12.08,19:00,12588.00000,12605.00000,12582.20000,12604.00000,6352
2020.12.08,20:00,12604.30000,12639.00000,12600.70000,12633.50000,6549
2020.12.08,21:00,12633.30000,12655.80000,12627.20000,12644.10000,7071
2020.12.08,22:00,12644.70000,12652.80000,12634.70000,12640.50000,8582
2020.12.09,01:00,12660.50000,12660.60000,12643.80000,12650.90000,1177
2020.12.09,02:00,12651.00000,12668.30000,12648.30000,12660.60000,2845
2020.12.09,03:00,12660.60000,12663.10000,12637.50000,12640.80000,3237
2020.12.09,04:00,12641.50000,12649.80000,12640.80000,12645.50000,1829
2020.12.09,05:00,12645.20000,12652.30000,12643.50000,12645.20000,1387
2020.12.09,06:00,12645.20000,12653.00000,12644.70000,12652.50000,1141
2020.12.09,07:00,12654.70000,12655.20000,12643.50000,12650.00000,1366
2020.12.09,08:00,12650.20000,12656.20000,12647.70000,12649.50000,1378
