Date,Time,Open,High,Low,Close,Volume
2021.04.13,09:00,1.25782,1.25839,1.25720,1.25806,3600
2021.04.13,10:00,1.25806,1.25827,1.25723,1.25823,5056
2021.04.13,11:00,1.25824,1.25877,1.25756,1.25851,3988
2021.04.13,12:00,1.25850,1.25923,1.25844,1.25870,3653
2021.04.13,13:00,1.25869,1.25976,1.25836,1.25966,3725
2021.04.13,14:00,1.25967,1.26216,1.25942,1.26176,6891
2021.04.13,15:00,1.26177,1.26274,1.25894,1.25916,8903
2021.04.13,16:00,1.25915,1.25926,1.25597,1.25652,10042
2021.04.13,17:00,1.25652,1.25779,1.25502,1.25522,7678
2021.04.13,18:00,1.25523,1.25569,1.25387,1.25409,5421
2021.04.13,19:00,1.25411,1.25449,1.25316,1.25422,4069
2021.04.13,20:00,1.25420,1.25433,1.25343,1.25386,4070
2021.04.13,21:00,1.25386,1.25423,1.25304,1.25336,3310
2021.04.13,22:00,1.25333,1.25357,1.25279,1.25291,3162
2021.04.13,23:00,1.25293,1.25361,1.25261,1.25321,2134
2021.04.14,00:00,1.25319,1.25340,1.25268,1.25306,1034
2021.04.14,01:00,1.25300,1.25366,1.25295,1.25359,916
2021.04.14,02:00,1.25360,1.25389,1.25323,1.25360,1342
2021.04.14,03:00,1.25359,1.25453,1.25325,1.25428,3203
2021.04.14,04:00,1.25428,1.25466,1.25344,1.25401,3734
2021.04.14,05:00,1.25401,1.25456,1.25363,1.25403,4520
2021.04.14,06:00,1.25401,1.25434,1.25383,1.25384,2504
2021.04.14,07:00,1.25384,1.25399,1.25329,1.25373,1997
2021.04.14,08:00,1.25373,1.25400,1.25324,1.25358,2223
2021.04.14,09:00,1.25354,1.25435,1.25333,1.25383,2673
2021.04.14,10:00,1.25381,1.25605,1.25354,1.25593,3527
2021.04.14,11:00,1.25594,1.25596,1.25379,1.25411,2739
2021.04.14,12:00,1.25409,1.25498,1.25358,1.25467,2404
2021.04.14,13:00,1.25468,1.25566,1.25457,1.25518,2377
2021.04.14,14:00,1.25520,1.25603,1.25497,1.25562,1754
2021.04.14,15:00,1.25561,1.25749,1.25554,1.25732,2856
2021.04.14,16:00,1.25732,1.25742,1.25494,1.25560,5032
2021.04.14,17:00,1.25560,1.25590,1.25303,1.25383,6818
2021.04.14,18:00,1.25380,1.25395,1.25111,1.25147,4542
2021.04.14,19:00,1.25148,1.25217,1.24990,1.25040,3967
2021.04.14,20:00,1.25040,1.25220,1.25028,1.25202,2684
2021.04.14,21:00,1.25202,1.25294,1.25165,1.25232,3314
2021.04.14,22:00,1.25232,1.25288,1.25160,1.25160,2940
2021.04.14,23:00,1.25158,1.25212,1.25154,1.25176,1568
2021.04.15,00:00,1.25173,1.25209,1.25096,1.25161,672
2021.04.15,01:00,1.25166,1.25178,1.25125,1.25130,987
2021.04.15,02:00,1.25130,1.25171,1.25119,1.25161,772
2021.04.15,03:00,1.25167,1.25192,1.25058,1.25075,2213
2021.04.15,04:00,1.25071,1.25253,1.25035,1.25202,3440
2021.04.15,05:00,1.25202,1.25232,1.25136,1.25182,2163
2021.04.15,06:00,1.25185,1.25231,1.25157,1.25214,2131
2021.04.15,07:00,1.25214,1.25248,1.25190,1.25246,1261
2021.04.15,08:00,1.25247,1.25276,1.25199,1.25254,1640
2021.04.15,09:00,1.25254,1.25271,1.25071,1.25080,2585
2021.04.15,10:00,1.25079,1.25087,1.24848,1.24887,4034
2021.04.15,11:00,1.24886,1.24928,1.24813,1.24855,2822
2021.04.15,12:00,1.24858,1.24904,1.24758,1.24894,2425
2021.04.15,13:00,1.24894,1.24978,1.24891,1.24972,2125
2021.04.15,14:00,1.24971,1.24974,1.24906,1.24964,2362
2021.04.15,15:00,1.24964,1.25181,1.24894,1.25157,4438
2021.04.15,16:00,1.25158,1.25213,1.25028,1.25142,5336
2021.04.15,17:00,1.25141,1.25406,1.25085,1.25293,6569
2021.04.15,18:00,1.25291,1.25573,1.25271,1.25386,4850
2021.04.15,19:00,1.25386,1.25473,1.25370,1.25396,2302
2021.04.15,20:00,1.25395,1.25500,1.25392,1.25413,2551
2021.04.15,21:00,1.25413,1.25418,1.25313,1.25360,2417
2021.04.15,22:00,1.25360,1.25409,1.25324,1.25326,3006
2021.04.15,23:00,1.25327,1.25472,1.25302,1.25405,1999
2021.04.16,00:00,1.25405,1.25521,1.25250,1.25363,1370
2021.04.16,01:00,1.25381,1.25500,1.25381,1.25498,751
2021.04.16,02:00,1.25497,1.25508,1.25419,1.25443,855
2021.04.16,03:00,1.25441,1.25563,1.25405,1.25546,2040
2021.04.16,04:00,1.25546,1.25582,1.25486,1.25524,3104
2021.04.16,05:00,1.25526,1.25584,1.25499,1.25515,1932
2021.04.16,06:00,1.25512,1.25512,1.25385,1.25419,1302
2021.04.16,07:00,1.25420,1.25438,1.25336,1.25340,1098
2021.04.16,08:00,1.25341,1.25366,1.25195,1.25195,1448
2021.04.16,09:00,1.25202,1.25263,1.25164,1.25203,3009
2021.04.16,10:00,1.25205,1.25243,1.25138,1.25162,2981
2021.04.16,11:00,1.25162,1.25204,1.25125,1.25135,2302
2021.04.16,12:00,1.25134,1.25168,1.25053,1.25074,2333
2021.04.16,13:00,1.25074,1.25083,1.25006,1.25033,2639
2021.04.16,14:00,1.25031,1.25110,1.24943,1.25058,2923
2021.04.16,15:00,1.25059,1.25061,1.24937,1.24965,4133
2021.04.16,16:00,1.24965,1.25171,1.24959,1.25151,4536
2021.04.16,17:00,1.25150,1.25160,1.24946,1.24982,4846
2021.04.16,18:00,1.24982,1.25037,1.24934,1.24982,3342
2021.04.16,19:00,1.24983,1.25049,1.24934,1.25029,2836
2021.04.16,20:00,1.25028,1.25063,1.25010,1.25049,1680
2021.04.16,21:00,1.25048,1.25075,1.25008,1.25010,2143
2021.04.16,22:00,1.25011,1.25071,1.24984,1.25060,1847
2021.04.16,23:00,1.25061,1.25072,1.24994,1.25050,847
2021.04.19,00:00,1.25036,1.25084,1.25028,1.25066,295
2021.04.19,01:00,1.25065,1.25147,1.25054,1.25145,717
2021.04.19,02:00,1.25145,1.25174,1.25118,1.25173,940
2021.04.19,03:00,1.25173,1.25176,1.25079,1.25153,1895
2021.04.19,04:00,1.25152,1.25276,1.25137,1.25205,3003
2021.04.19,05:00,1.25204,1.25214,1.25077,1.25101,2274
2021.04.19,06:00,1.25103,1.25121,1.25065,1.25089,1406
2021.04.19,07:00,1.25089,1.25096,1.25044,1.25053,1065
2021.04.19,08:00,1.25052,1.25084,1.24992,1.25011,1426
2021.04.19,09:00,1.25011,1.25087,1.24978,1.25012,2563
2021.04.19,10:00,1.25013,1.25066,1.24789,1.24815,3858
2021.04.19,11:00,1.24817,1.24880,1.24700,1.24767,3375
2021.04.19,12:00,1.24765,1.24843,1.24757,1.24765,2190
2021.04.19,13:00,1.24764,1.24851,1.24733,1.24746,2494
2021.04.19,14:00,1.24747,1.24933,1.24709,1.24895,2758
2021.04.19,15:00,1.24894,1.25046,1.24795,1.24797,3208
2021.04.19,16:00,1.24794,1.25034,1.24793,1.24903,4489
2021.04.19,17:00,1.24902,1.25238,1.24886,1.25106,6040
2021.04.19,18:00,1.25110,1.25351,1.25085,1.25339,4945
2021.04.19,19:00,1.25342,1.25383,1.25181,1.25317,4274
2021.04.19,20:00,1.25316,1.25372,1.25275,1.25369,2786
2021.04.19,21:00,1.25370,1.25428,1.25278,1.25294,3113
2021.04.19,22:00,1.25296,1.25420,1.25296,1.25303,3677
2021.04.19,23:00,1.25303,1.25341,1.25256,1.25316,1165
2021.04.20,00:00,1.25267,1.25299,1.25263,1.25286,461
2021.04.20,01:00,1.25285,1.25286,1.25236,1.25239,751
2021.04.20,02:00,1.25238,1.25292,1.25210,1.25225,774
2021.04.20,03:00,1.25224,1.25254,1.25164,1.25198,1655
2021.04.20,04:00,1.25200,1.25230,1.25049,1.25069,2639
2021.04.20,05:00,1.25068,1.25107,1.25021,1.25026,2527
2021.04.20,06:00,1.25030,1.25052,1.24890,1.24903,2485
2021.04.20,07:00,1.24904,1.24969,1.24890,1.24895,1533
2021.04.20,08:00,1.24900,1.24950,1.24874,1.24888,2061
2021.04.20,09:00,1.24888,1.24992,1.24854,1.24928,4142
2021.04.20,10:00,1.24930,1.24965,1.24776,1.24952,4418
2021.04.20,11:00,1.24948,1.24991,1.24843,1.24968,3699
2021.04.20,12:00,1.24963,1.25251,1.24939,1.25136,3284
2021.04.20,13:00,1.25134,1.25350,1.25123,1.25336,3501
2021.04.20,14:00,1.25335,1.25389,1.25222,1.25255,2452
2021.04.20,15:00,1.25255,1.25378,1.25173,1.25298,3682
2021.04.20,16:00,1.25299,1.25330,1.25165,1.25183,4126
2021.04.20,17:00,1.25183,1.25562,1.25155,1.25551,6796
2021.04.20,18:00,1.25551,1.25859,1.25549,1.25736,6437
2021.04.20,19:00,1.25735,1.25953,1.25698,1.25912,4675
2021.04.20,20:00,1.25911,1.26118,1.25906,1.26060,4082
2021.04.20,21:00,1.26061,1.26228,1.26031,1.26174,3364
2021.04.20,22:00,1.26172,1.26176,1.26083,1.26126,2375
2021.04.20,23:00,1.26125,1.26184,1.26066,1.26103,1931
2021.04.21,00:00,1.26103,1.26118,1.26031,1.26052,539
2021.04.21,01:00,1.26048,1.26134,1.26048,1.26107,735
2021.04.21,02:00,1.26107,1.26150,1.26078,1.26110,1108
2021.04.21,03:00,1.26110,1.26125,1.26002,1.26072,1753
2021.04.21,04:00,1.26073,1.26105,1.25964,1.26053,2382
2021.04.21,05:00,1.26052,1.26117,1.26017,1.26059,2255
2021.04.21,06:00,1.26062,1.26078,1.25989,1.26019,1368
2021.04.21,07:00,1.26015,1.26129,1.26010,1.26102,1052
2021.04.21,08:00,1.26101,1.26127,1.25990,1.26020,1309
2021.04.21,09:00,1.26021,1.26022,1.25849,1.25881,2344
2021.04.21,10:00,1.25881,1.25988,1.25823,1.25874,3980
2021.04.21,11:00,1.25874,1.25998,1.25820,1.25970,3316
2021.04.21,12:00,1.25969,1.25986,1.25873,1.25932,3633
2021.04.21,13:00,1.25932,1.26036,1.25910,1.25938,2490
2021.04.21,14:00,1.25937,1.26056,1.25933,1.26013,2166
2021.04.21,15:00,1.26013,1.26245,1.25988,1.26210,3123
2021.04.21,16:00,1.26211,1.26531,1.26137,1.26320,5964
2021.04.21,17:00,1.26321,1.26322,1.24770,1.24845,12113
2021.04.21,18:00,1.24844,1.24853,1.24586,1.24831,4585
2021.04.21,19:00,1.24833,1.24976,1.24809,1.24894,3090
2021.04.21,20:00,1.24893,1.24919,1.24845,1.24871,2423
2021.04.21,21:00,1.24870,1.24976,1.24861,1.24943,1883
2021.04.21,22:00,1.24943,1.24974,1.24904,1.24917,1682
2021.04.21,23:00,1.24918,1.25001,1.24918,1.24952,1144
2021.04.22,00:00,1.24960,1.24978,1.24876,1.24956,294
2021.04.22,01:00,1.24959,1.25059,1.24950,1.25036,712
2021.04.22,02:00,1.25038,1.25057,1.24997,1.25029,741
2021.04.22,03:00,1.25030,1.25051,1.24916,1.24953,1923
2021.04.22,04:00,1.24955,1.25028,1.24880,1.25013,2251
2021.04.22,05:00,1.25015,1.25022,1.24918,1.24947,1462
2021.04.22,06:00,1.24948,1.25032,1.24922,1.25012,1618
2021.04.22,07:00,1.25012,1.25116,1.25003,1.25077,1515
2021.04.22,08:00,1.25075,1.25105,1.24978,1.25019,1699
2021.04.22,09:00,1.25017,1.25068,1.24721,1.24778,2754
2021.04.22,10:00,1.24780,1.24976,1.24769,1.24964,3051
2021.04.22,11:00,1.24964,1.25081,1.24946,1.25052,2935
2021.04.22,12:00,1.25052,1.25077,1.24918,1.24920,3150
2021.04.22,13:00,1.24920,1.25045,1.24898,1.25028,1626
2021.04.22,14:00,1.25028,1.25064,1.24986,1.25042,1841
2021.04.22,15:00,1.25043,1.25112,1.24894,1.24931,5065
2021.04.22,16:00,1.24937,1.25179,1.24914,1.25108,6468
2021.04.22,17:00,1.25108,1.25339,1.24970,1.25009,5550
2021.04.22,18:00,1.25010,1.25065,1.24820,1.24901,3415
2021.04.22,19:00,1.24900,1.24963,1.24755,1.24806,2906
2021.04.22,20:00,1.24805,1.25019,1.24781,1.24997,7391
2021.04.22,21:00,1.24998,1.25103,1.24935,1.24959,5003
2021.04.22,22:00,1.24960,1.25081,1.24929,1.25039,3328
2021.04.22,23:00,1.25040,1.25048,1.24925,1.25035,1319
2021.04.23,00:00,1.25025,1.25070,1.24941,1.25017,643
2021.04.23,01:00,1.25017,1.25051,1.24982,1.25035,828
2021.04.23,02:00,1.25038,1.25045,1.24979,1.25017,815
2021.04.23,03:00,1.25016,1.25049,1.24911,1.24931,1673
2021.04.23,04:00,1.24931,1.24972,1.24824,1.24856,1836
2021.04.23,05:00,1.24855,1.24914,1.24824,1.24827,1511
2021.04.23,06:00,1.24826,1.24838,1.24754,1.24755,1550
2021.04.23,07:00,1.24754,1.24754,1.24702,1.24716,1105
2021.04.23,08:00,1.24711,1.24830,1.24696,1.24763,1727
2021.04.23,09:00,1.24761,1.24876,1.24754,1.24860,2474
2021.04.23,10:00,1.24859,1.24861,1.24688,1.24703,3436
2021.04.23,11:00,1.24702,1.24820,1.24699,1.24819,2239
2021.04.23,12:00,1.24819,1.24949,1.24804,1.24862,1864
2021.04.23,13:00,1.24862,1.24882,1.24784,1.24808,1608
2021.04.23,14:00,1.24807,1.24883,1.24770,1.24770,1701
2021.04.23,15:00,1.24769,1.24968,1.24724,1.24923,3709
2021.04.23,16:00,1.24923,1.25020,1.24885,1.24961,5719
2021.04.23,17:00,1.24961,1.25041,1.24789,1.25009,6771
2021.04.23,18:00,1.25010,1.25032,1.24866,1.24946,3029
2021.04.23,19:00,1.24946,1.25081,1.24913,1.25028,2607
2021.04.23,20:00,1.25027,1.25047,1.24884,1.24885,2258
2021.04.23,21:00,1.24886,1.24891,1.24704,1.24731,1695
2021.04.23,22:00,1.24731,1.24776,1.24646,1.24772,2078
2021.04.23,23:00,1.24769,1.24778,1.24598,1.24754,1077
2021.04.26,00:00,1.24745,1.24791,1.24742,1.24769,273
2021.04.26,01:00,1.24765,1.24818,1.24733,1.24818,911
2021.04.26,02:00,1.24816,1.24885,1.24773,1.24882,843
2021.04.26,03:00,1.24880,1.24894,1.24581,1.24662,1553
2021.04.26,04:00,1.24664,1.24664,1.24516,1.24558,2200
2021.04.26,05:00,1.24557,1.24595,1.24496,1.24506,1825
2021.04.26,06:00,1.24507,1.24557,1.24479,1.24550,1791
2021.04.26,07:00,1.24551,1.24551,1.24480,1.24545,1010
2021.04.26,08:00,1.24544,1.24644,1.24520,1.24641,1408
2021.04.26,09:00,1.24641,1.24707,1.24532,1.24696,2684
2021.04.26,10:00,1.24695,1.24718,1.24584,1.24595,3386
2021.04.26,11:00,1.24594,1.24681,1.24586,1.24603,2460
2021.04.26,12:00,1.24602,1.24629,1.24522,1.24535,2209
2021.04.26,13:00,1.24535,1.24560,1.24384,1.24407,2461
2021.04.26,14:00,1.24408,1.24482,1.24355,1.24428,2651
2021.04.26,15:00,1.24427,1.24475,1.24318,1.24464,3410
2021.04.26,16:00,1.24465,1.24538,1.24236,1.24320,6018
2021.04.26,17:00,1.24321,1.24330,1.23832,1.23904,5837
2021.04.26,18:00,1.23905,1.24012,1.23840,1.23975,3886
2021.04.26,19:00,1.23978,1.24113,1.23974,1.24108,2839
2021.04.26,20:00,1.24106,1.24131,1.24049,1.24104,2252
2021.04.26,21:00,1.24104,1.24112,1.23977,1.23982,1831
2021.04.26,22:00,1.23982,1.24039,1.23927,1.23933,2683
2021.04.26,23:00,1.23930,1.23986,1.23895,1.23915,1557
2021.04.27,00:00,1.23938,1.23977,1.23870,1.23895,461
2021.04.27,01:00,1.23907,1.23967,1.23896,1.23952,999
2021.04.27,02:00,1.23951,1.23978,1.23913,1.23949,682
2021.04.27,03:00,1.23950,1.24009,1.23874,1.23947,1341
2021.04.27,04:00,1.23945,1.24044,1.23920,1.24018,2005
2021.04.27,05:00,1.24020,1.24093,1.24007,1.24030,1169
2021.04.27,06:00,1.24031,1.24063,1.24004,1.24054,1365
2021.04.27,07:00,1.24054,1.24067,1.23984,1.24030,919
2021.04.27,08:00,1.24027,1.24031,1.23953,1.23964,1485
2021.04.27,09:00,1.23958,1.24069,1.23928,1.24010,2011
2021.04.27,10:00,1.24005,1.24125,1.23998,1.24046,3155
2021.04.27,11:00,1.24050,1.24174,1.24036,1.24151,2394
2021.04.27,12:00,1.24152,1.24173,1.24058,1.24097,2010
2021.04.27,13:00,1.24096,1.24103,1.23941,1.23960,1878
2021.04.27,14:00,1.23959,1.24045,1.23934,1.24035,2270
2021.04.27,15:00,1.24035,1.24111,1.23917,1.24081,2776
2021.04.27,16:00,1.24081,1.24151,1.23942,1.24004,5847
2021.04.27,17:00,1.24003,1.24100,1.23972,1.24033,6107
2021.04.27,18:00,1.24030,1.24094,1.23929,1.23958,3239
2021.04.27,19:00,1.23960,1.24137,1.23948,1.24126,2014
2021.04.27,20:00,1.24127,1.24138,1.23946,1.24048,1979
2021.04.27,21:00,1.24047,1.24107,1.24031,1.24062,1769
2021.04.27,22:00,1.24063,1.24064,1.23956,1.23972,1457
2021.04.27,23:00,1.23971,1.24021,1.23963,1.23968,1595
2021.04.28,00:00,1.23967,1.24048,1.23967,1.24030,534
2021.04.28,01:00,1.24020,1.24081,1.24006,1.24027,693
2021.04.28,02:00,1.24028,1.24058,1.23997,1.24055,638
2021.04.28,03:00,1.24060,1.24141,1.24046,1.24110,1523
2021.04.28,04:00,1.24111,1.24169,1.24075,1.24084,2537
2021.04.28,05:00,1.24085,1.24104,1.24039,1.24096,1478
2021.04.28,06:00,1.24098,1.24119,1.24060,1.24101,825
2021.04.28,07:00,1.24101,1.24104,1.24047,1.24051,791
2021.04.28,08:00,1.24053,1.24056,1.23991,1.24056,1006
2021.04.28,09:00,1.24056,1.24087,1.23987,1.24062,1829
2021.04.28,10:00,1.24062,1.24136,1.24002,1.24096,2693
2021.04.28,11:00,1.24095,1.24140,1.24024,1.24030,2350
2021.04.28,12:00,1.24032,1.24104,1.23992,1.24042,1975
2021.04.28,13:00,1.24043,1.24075,1.24006,1.24026,1723
2021.04.28,14:00,1.24028,1.24066,1.23845,1.23927,2394
2021.04.28,15:00,1.23926,1.23953,1.23813,1.23919,2660
2021.04.28,16:00,1.23918,1.24020,1.23876,1.23878,4291
2021.04.28,17:00,1.23877,1.23877,1.23536,1.23707,4880
2021.04.28,18:00,1.23705,1.23709,1.23511,1.23538,3562
2021.04.28,19:00,1.23536,1.23567,1.23298,1.23342,2006
2021.04.28,20:00,1.23342,1.23462,1.23321,1.23409,1887
2021.04.28,21:00,1.23409,1.23523,1.23122,1.23155,8161
2021.04.28,22:00,1.23153,1.23283,1.23110,1.23115,5125
2021.04.28,23:00,1.23114,1.23203,1.23093,1.23120,1808
2021.04.29,00:00,1.23114,1.23208,1.23102,1.23131,469
2021.04.29,01:00,1.23138,1.23146,1.23009,1.23014,1167
2021.04.29,02:00,1.23012,1.23064,1.23011,1.23021,788
2021.04.29,03:00,1.23023,1.23040,1.23001,1.23010,946
2021.04.29,04:00,1.23008,1.23009,1.22867,1.22879,1457
2021.04.29,05:00,1.22878,1.23074,1.22863,1.23044,1630
2021.04.29,06:00,1.23044,1.23116,1.23022,1.23095,1427
2021.04.29,07:00,1.23094,1.23123,1.23075,1.23089,1098
2021.04.29,08:00,1.23091,1.23100,1.23027,1.23037,992
2021.04.29,09:00,1.23040,1.23110,1.23002,1.23065,2529
2021.04.29,10:00,1.23066,1.23090,1.22890,1.22989,3445
