Date,Time,Open,High,Low,Close,Volume
2021.03.26,08:00,1727.81000,1729.46000,1726.57000,1727.99000,5810
2021.03.26,09:00,1727.96000,1728.43000,1725.52000,1727.33000,6368
2021.03.26,10:00,1727.26000,1728.92000,1725.20000,1727.62000,6795
2021.03.26,11:00,1727.62000,1731.81000,1726.54000,1729.93000,6502
2021.03.26,12:00,1729.88000,1730.16000,1724.96000,1725.62000,6484
2021.03.26,13:00,1725.60000,1726.00000,1721.46000,1724.98000,7359
2021.03.26,14:00,1724.99000,1728.66000,1723.81000,1724.70000,9334
2021.03.26,15:00,1724.65000,1728.72000,1724.06000,1728.57000,13855
2021.03.26,16:00,1728.56000,1732.21000,1728.06000,1730.93000,11887
2021.03.26,17:00,1730.93000,1736.48000,1730.79000,1733.80000,10602
2021.03.26,18:00,1733.88000,1734.43000,1731.97000,1732.11000,6175
2021.03.26,19:00,1732.11000,1734.11000,1730.65000,1731.65000,5917
2021.03.26,20:00,1731.68000,1732.31000,1729.99000,1731.21000,5934
2021.03.26,21:00,1731.20000,1732.50000,1730.59000,1731.61000,4616
2021.03.26,22:00,1731.58000,1732.61000,1731.41000,1732.53000,1917
2021.03.29,01:00,1731.00000,1732.38000,1730.46000,1730.99000,2115
2021.03.29,02:00,1730.99000,1731.67000,1730.51000,1730.92000,2024
2021.03.29,03:00,1730.89000,1732.44000,1730.04000,1731.08000,3903
2021.03.29,04:00,1731.08000,1731.73000,1726.21000,1731.37000,7026
2021.03.29,05:00,1731.37000,1732.67000,1730.13000,1731.71000,4706
2021.03.29,06:00,1731.69000,1731.93000,1729.09000,1729.23000,4313
2021.03.29,07:00,1729.21000,1729.61000,1727.41000,1727.70000,2917
2021.03.29,08:00,1727.71000,1729.01000,1726.07000,1728.42000,5760
2021.03.29,09:00,1728.41000,1728.72000,1724.87000,1725.16000,7458
2021.03.29,10:00,1725.12000,1728.01000,1724.80000,1726.13000,6256
2021.03.29,11:00,1726.20000,1726.81000,1723.62000,1724.64000,6996
2021.03.29,12:00,1724.64000,1725.76000,1723.82000,1724.52000,5072
2021.03.29,13:00,1724.49000,1728.01000,1723.72000,1726.77000,4833
2021.03.29,14:00,1726.77000,1727.31000,1724.87000,1725.93000,4650
2021.03.29,15:00,1725.94000,1727.81000,1721.77000,1723.68000,9017
2021.03.29,16:00,1723.70000,1726.14000,1705.87000,1711.08000,16757
2021.03.29,17:00,1710.95000,1712.56000,1705.49000,1710.68000,16258
2021.03.29,18:00,1710.68000,1712.24000,1708.42000,1711.57000,10474
2021.03.29,19:00,1711.55000,1715.62000,1711.34000,1713.02000,7194
2021.03.29,20:00,1713.07000,1714.38000,1711.37000,1711.44000,6985
2021.03.29,21:00,1711.44000,1711.50000,1709.59000,1710.41000,6119
2021.03.29,22:00,1710.46000,1711.60000,1709.94000,1711.26000,6167
2021.03.29,23:00,1711.23000,1712.11000,1710.16000,1711.64000,1582
2021.03.30,01:00,1712.51000,1712.89000,1711.39000,1711.46000,1526
2021.03.30,02:00,1711.46000,1712.47000,1710.38000,1711.78000,2614
2021.03.30,03:00,1711.80000,1714.05000,1710.60000,1712.99000,3822
2021.03.30,04:00,1712.99000,1714.19000,1708.57000,1710.13000,7044
2021.03.30,05:00,1710.05000,1710.52000,1704.50000,1705.94000,5841
2021.03.30,06:00,1705.94000,1708.01000,1705.68000,1707.21000,4229
2021.03.30,07:00,1707.20000,1707.85000,1705.90000,1707.64000,3188
2021.03.30,08:00,1707.64000,1708.07000,1704.41000,1704.96000,5134
2021.03.30,09:00,1704.97000,1708.30000,1701.99000,1702.98000,9964
2021.03.30,10:00,1702.97000,1704.89000,1695.28000,1697.27000,12045
2021.03.30,11:00,1697.16000,1700.49000,1695.97000,1697.92000,8662
2021.03.30,12:00,1697.88000,1700.78000,1695.87000,1696.00000,6194
2021.03.30,13:00,1696.02000,1696.53000,1692.72000,1693.05000,7610
2021.03.30,14:00,1693.00000,1693.44000,1686.07000,1688.16000,10783
2021.03.30,15:00,1688.15000,1690.28000,1678.61000,1683.62000,15618
2021.03.30,16:00,1683.65000,1688.32000,1681.39000,1687.98000,16993
2021.03.30,17:00,1687.98000,1687.98000,1681.84000,1684.09000,16328
2021.03.30,18:00,1684.10000,1687.42000,1682.75000,1686.74000,11690
2021.03.30,19:00,1686.70000,1686.96000,1683.64000,1685.30000,8361
2021.03.30,20:00,1685.37000,1686.51000,1683.93000,1683.95000,7166
2021.03.30,21:00,1683.99000,1684.55000,1681.46000,1681.52000,6510
2021.03.30,22:00,1681.55000,1684.18000,1681.39000,1681.85000,5285
2021.03.30,23:00,1681.87000,1684.89000,1681.87000,1684.89000,2789
2021.03.31,01:00,1684.66000,1685.65000,1682.61000,1683.28000,3123
2021.03.31,02:00,1683.24000,1685.39000,1682.77000,1685.33000,2840
2021.03.31,03:00,1685.37000,1686.23000,1683.29000,1683.95000,4816
2021.03.31,04:00,1684.01000,1686.18000,1678.48000,1682.13000,10005
2021.03.31,05:00,1682.09000,1682.86000,1677.67000,1678.14000,6275
2021.03.31,06:00,1678.16000,1680.54000,1677.77000,1679.29000,6007
2021.03.31,07:00,1679.26000,1680.23000,1678.48000,1679.19000,3028
2021.03.31,08:00,1679.18000,1683.59000,1678.39000,1683.51000,5232
2021.03.31,09:00,1683.49000,1688.64000,1681.61000,1686.23000,9143
2021.03.31,10:00,1686.27000,1687.88000,1683.56000,1683.99000,8214
2021.03.31,11:00,1684.01000,1686.64000,1682.44000,1685.83000,7671
2021.03.31,12:00,1685.82000,1686.67000,1684.54000,1685.59000,5716
2021.03.31,13:00,1685.60000,1689.02000,1685.20000,1686.93000,5825
2021.03.31,14:00,1686.95000,1688.59000,1684.35000,1684.61000,6326
2021.03.31,15:00,1684.63000,1689.33000,1682.12000,1687.28000,12498
2021.03.31,16:00,1687.26000,1697.72000,1686.69000,1697.09000,15284
2021.03.31,17:00,1697.07000,1705.94000,1693.60000,1703.76000,16757
2021.03.31,18:00,1703.82000,1708.51000,1701.59000,1707.91000,13065
2021.03.31,19:00,1707.89000,1712.23000,1707.00000,1711.74000,9822
2021.03.31,20:00,1711.70000,1715.18000,1710.41000,1710.66000,9651
2021.03.31,21:00,1710.66000,1710.93000,1707.02000,1707.72000,6686
2021.03.31,22:00,1707.71000,1709.12000,1706.35000,1707.66000,6133
2021.03.31,23:00,1707.72000,1708.25000,1705.80000,1707.53000,2512
2021.04.01,01:00,1707.23000,1708.58000,1706.71000,1707.75000,2070
2021.04.01,02:00,1707.75000,1708.93000,1707.07000,1707.27000,2284
2021.04.01,03:00,1707.23000,1707.97000,1705.63000,1706.67000,5821
2021.04.01,04:00,1706.66000,1710.70000,1705.59000,1710.45000,7876
2021.04.01,05:00,1710.45000,1711.95000,1709.10000,1711.86000,5949
2021.04.01,06:00,1711.89000,1713.95000,1711.76000,1712.61000,4965
2021.04.01,07:00,1712.57000,1713.04000,1710.52000,1711.07000,3644
2021.04.01,08:00,1710.98000,1714.85000,1709.97000,1714.43000,6051
2021.04.01,09:00,1714.58000,1717.43000,1711.53000,1715.10000,8588
2021.04.01,10:00,1715.15000,1719.66000,1714.52000,1718.27000,9280
2021.04.01,11:00,1718.20000,1719.48000,1715.43000,1716.03000,7326
2021.04.01,12:00,1716.01000,1716.80000,1712.96000,1714.62000,6000
2021.04.01,13:00,1714.63000,1715.65000,1712.85000,1712.99000,5166
2021.04.01,14:00,1713.00000,1717.19000,1710.27000,1716.69000,6721
2021.04.01,15:00,1716.76000,1719.99000,1715.40000,1718.57000,10700
2021.04.01,16:00,1718.58000,1727.93000,1718.58000,1724.49000,16402
2021.04.01,17:00,1723.55000,1729.20000,1721.30000,1728.53000,14772
