Date,Time,Open,High,Low,Close,Volume
2022.07.21,14:00,1682.58000,1685.00000,1680.77000,1684.78000,5011
2022.07.21,15:00,1684.76000,1707.10000,1683.79000,1706.70000,13566
2022.07.21,16:00,1706.72000,1710.33000,1693.12000,1705.77000,16625
2022.07.21,17:00,1705.79000,1713.31000,1703.73000,1711.60000,13037
2022.07.21,18:00,1711.61000,1718.28000,1709.39000,1713.22000,9651
2022.07.21,19:00,1713.22000,1713.51000,1710.40000,1711.70000,4845
2022.07.21,20:00,1711.70000,1715.44000,1710.92000,1713.79000,5243
2022.07.21,21:00,1713.79000,1715.27000,1713.47000,1714.95000,3591
2022.07.21,22:00,1714.95000,1719.84000,1714.12000,1719.54000,4659
2022.07.21,23:00,1719.52000,1720.24000,1718.64000,1720.17000,2800
2022.07.22,01:00,1717.93000,1718.15000,1716.97000,1717.27000,1236
2022.07.22,02:00,1717.27000,1719.25000,1717.23000,1718.10000,2174
2022.07.22,03:00,1718.03000,1718.89000,1716.91000,1717.05000,3292
2022.07.22,04:00,1717.01000,1718.08000,1715.75000,1716.56000,4781
2022.07.22,05:00,1716.57000,1716.95000,1713.74000,1714.27000,3995
2022.07.22,06:00,1714.28000,1715.09000,1712.79000,1713.60000,2542
2022.07.22,07:00,1713.58000,1714.09000,1713.01000,1713.40000,1815
2022.07.22,08:00,1713.43000,1716.82000,1713.13000,1715.82000,3631
2022.07.22,09:00,1715.86000,1719.32000,1715.68000,1718.58000,4949
2022.07.22,10:00,1718.59000,1720.34000,1714.95000,1716.13000,7946
2022.07.22,11:00,1716.23000,1719.65000,1715.87000,1718.25000,6066
2022.07.22,12:00,1718.25000,1725.60000,1717.65000,1724.26000,6783
2022.07.22,13:00,1724.42000,1725.17000,1721.41000,1724.48000,5083
2022.07.22,14:00,1724.29000,1730.13000,1721.92000,1728.47000,6724
2022.07.22,15:00,1728.49000,1729.11000,1723.17000,1724.02000,7787
2022.07.22,16:00,1724.06000,1737.38000,1722.06000,1734.60000,11936
2022.07.22,17:00,1734.62000,1739.20000,1729.41000,1732.81000,13255
2022.07.22,18:00,1732.70000,1733.11000,1728.74000,1731.06000,7794
2022.07.22,19:00,1731.12000,1731.36000,1728.69000,1728.80000,5667
2022.07.22,20:00,1728.94000,1729.51000,1725.69000,1726.01000,5534
2022.07.22,21:00,1726.16000,1726.48000,1720.29000,1723.49000,5936
2022.07.22,22:00,1723.49000,1725.86000,1721.56000,1724.07000,4394
2022.07.22,23:00,1724.06000,1727.44000,1723.35000,1726.85000,1523
2022.07.25,01:00,1725.87000,1726.94000,1725.27000,1726.12000,1550
2022.07.25,02:00,1726.04000,1726.11000,1724.17000,1724.63000,1665
2022.07.25,03:00,1724.64000,1724.67000,1720.51000,1720.51000,4115
2022.07.25,04:00,1720.52000,1725.20000,1719.84000,1724.56000,5990
2022.07.25,05:00,1724.60000,1727.50000,1723.87000,1727.29000,4331
